{},{},{},"{{{4, 3}, {2, 1}}}"
{},"{{{8, 4}, {3, 2}}}",{},"{{{8, 3}, {2, 1}}, {{8, 3}, {2, 4}}}"
"{{{8, 4}, {7, 3}}}","{{{8, 4}, {7, 2}}}",{},"{{{8, 3}, {6, 1}}, {{8, 3}, {6, 4}}, {{8, 3}, {7, 4}}}"
{},{},{},"{{{8, 7}, {2, 1}}, {{8, 7}, {2, 4}}, {{8, 7}, {3, 4}}}"
{},{},"{{{7, 6}, {8, 4}}}","{{{6, 5}, {8, 3}}, {{6, 7}, {8, 3}}}"
{},{},{},"{{{8, 7}, {6, 5}}}"
{},"{{{12, 4}, {3, 2}}}",{},"{{{12, 3}, {2, 1}}, {{12, 3}, {2, 4}}}"
"{{{12, 4}, {7, 3}}}","{{{12, 4}, {7, 2}}, {{12, 4}, {8, 3}}}","{{{11, 2}, {8, 4}}, {{12, 3}, {8, 4}}}","{{{12, 3}, {6, 1}}, {{12, 3}, {6, 4}}, {{12, 3}, {7, 2}}, {{12, 3}, {7, 4}}, {{12, 3}, {8, 2}}}"
{},"{{{12, 4}, {7, 6}}, {{12, 4}, {7, 8}}}",{},"{{{12, 3}, {6, 5}}, {{12, 3}, {6, 7}}, {{12, 3}, {6, 8}}, {{12, 3}, {7, 8}}}"
"{{{12, 4}, {11, 3}}}","{{{12, 4}, {11, 2}}}",{},"{{{12, 3}, {10, 1}}, {{12, 3}, {10, 4}}, {{12, 3}, {11, 4}}}"
{},"{{{12, 8}, {3, 2}}, {{12, 8}, {3, 4}}}",{},"{{{12, 7}, {2, 1}}, {{12, 7}, {2, 3}}, {{12, 7}, {2, 4}}, {{12, 7}, {3, 4}}}"
"{{{12, 8}, {7, 3}}}","{{{12, 8}, {7, 2}}, {{12, 8}, {7, 4}}}","{{{11, 6}, {8, 4}}, {{12, 7}, {8, 4}}}","{{{12, 7}, {6, 1}}, {{12, 7}, {6, 3}}, {{12, 7}, {6, 4}}, {{12, 7}, {8, 2}}, {{12, 7}, {8, 3}}}"
{},"{{{12, 8}, {7, 6}}}",{},"{{{12, 7}, {6, 5}}, {{12, 7}, {6, 8}}}"
"{{{12, 8}, {11, 3}}}","{{{12, 8}, {11, 2}}, {{12, 8}, {11, 4}}}","{{{11, 6}, {12, 4}}, {{11, 8}, {12, 4}}}","{{{12, 7}, {10, 1}}, {{12, 7}, {10, 3}}, {{12, 7}, {10, 4}}, {{12, 7}, {11, 2}}, {{12, 7}, {11, 4}}}"
"{{{12, 8}, {11, 7}}}","{{{12, 8}, {11, 6}}}",{},"{{{12, 7}, {10, 5}}, {{12, 7}, {10, 8}}, {{12, 7}, {11, 8}}}"
{},{},{},"{{{12, 11}, {2, 1}}, {{12, 11}, {2, 4}}, {{12, 11}, {3, 4}}}"
{},{},"{{{11, 10}, {8, 4}}, {{11, 12}, {8, 4}}}","{{{10, 9}, {8, 3}}, {{10, 11}, {8, 3}}, {{10, 12}, {8, 3}}, {{11, 12}, {8, 3}}}"
{},{},{},"{{{12, 11}, {6, 5}}, {{12, 11}, {6, 8}}, {{12, 11}, {7, 8}}}"
{},{},"{{{11, 10}, {12, 4}}}","{{{10, 9}, {12, 3}}, {{10, 11}, {12, 3}}}"
{},{},"{{{11, 10}, {12, 8}}}","{{{10, 9}, {12, 7}}, {{10, 11}, {12, 7}}}"
{},{},{},"{{{12, 11}, {10, 9}}}"
{},"{{{16, 4}, {3, 2}}}",{},"{{{16, 3}, {2, 1}}, {{16, 3}, {2, 4}}}"
"{{{16, 4}, {7, 3}}}","{{{16, 4}, {7, 2}}, {{16, 4}, {8, 3}}}","{{{15, 2}, {8, 4}}, {{16, 3}, {8, 4}}}","{{{16, 3}, {6, 1}}, {{16, 3}, {6, 4}}, {{16, 3}, {7, 2}}, {{16, 3}, {7, 4}}, {{16, 3}, {8, 2}}}"
