{},{},{},"{{35668, 35668, 1640968}}"
{},"{{587497, 1025545, 99262}}",{},"{{518107, 1090108, 104089}, {520917, 1086446, 104941}}"
"{{122148, 122148, 1468008}}","{{122148, 35990, 1554166}}",{},"{{35990, 35990, 1640324}, {30050, 18156, 1664098}, {12216, 12216, 1687872}}"
{},{},{},"{{1323334, 304424, 84546}, {1334608, 292517, 85179}, {1345882, 280610, 85812}}"
{},{},"{{1387806, 218939, 105559}}","{{1462233, 139127, 110944}, {1476342, 124052, 111910}}"
{},{},{},"{{36312, 36312, 1639680}}"
{},"{{600833, 1019500, 91971}}",{},"{{532408, 1083580, 96316}, {535318, 1079819, 97167}}"
"{{542122, 444296, 725886}}","{{567882, 369418, 775004}, {552957, 372863, 786484}}","{{470933, 466838, 774533}, {486431, 439389, 786484}}","{{496693, 391960, 823651}, {497735, 380042, 834527}, {486684, 391093, 834527}, {487726, 379175, 845403}, {497698, 379895, 834711}}"
{},"{{543513, 1103313, 65478}, {534246, 1111597, 66461}}",{},"{{479557, 1164040, 68707}, {470298, 1172666, 69340}, {482190, 1160460, 69654}, {472931, 1169086, 70287}}"
"{{122315, 122315, 1467674}}","{{122315, 36199, 1553790}}",{},"{{36199, 36199, 1639906}, {30259, 18365, 1663680}, {12425, 12425, 1687454}}"
{},"{{820847, 825443, 66014}, {816016, 829628, 66660}}",{},"{{765897, 877512, 68895}, {772942, 869833, 69529}, {772942, 869833, 69529}, {779987, 862154, 70163}}"
"{{565830, 426988, 719486}}","{{593474, 351627, 767203}, {578934, 354771, 778599}}","{{496832, 449119, 766353}, {512715, 420975, 778614}}","{{524476, 373758, 814070}, {526746, 360890, 824668}, {525866, 361650, 824788}, {525903, 361161, 825240}, {528173, 348293, 835838}}"
{},"{{619062, 1008967, 84275}}",{},"{{552584, 1072057, 87663}, {555759, 1067611, 88934}}"
"{{538552, 427155, 746597}}","{{565422, 351836, 795046}, {550081, 354980, 807243}}","{{468609, 449286, 794409}, {476086, 428960, 807258}}","{{495479, 373967, 842858}, {496497, 361859, 853948}, {497377, 361099, 853828}, {484576, 373586, 854142}, {486474, 360718, 865112}}"
"{{122330, 122330, 1467644}}","{{122330, 36521, 1553453}}",{},"{{36521, 36521, 1639262}, {30581, 18365, 1663358}, {12425, 12425, 1687454}}"
{},{},{},"{{1344432, 303944, 63928}, {1355721, 292024, 64559}, {1367010, 280104, 65190}}"
{},{},"{{1384066, 268272, 59966}, {1404412, 246860, 61032}}","{{1451928, 197108, 63268}, {1464840, 183564, 63900}, {1464850, 183240, 64214}, {1477762, 169696, 64846}}"
{},{},{},"{{1343864, 305388, 63052}, {1355150, 293159, 63995}, {1366436, 280930, 64938}}"
{},{},"{{1394583, 219106, 98615}}","{{1469279, 139336, 103689}, {1483275, 124261, 104768}}"
{},{},"{{1366365, 249296, 96643}}","{{1439147, 172181, 100976}, {1452687, 157256, 102361}}"
{},{},{},"{{36730, 36730, 1638844}}"
{},"{{614019, 1013455, 84830}}",{},"{{546517, 1077052, 88735}, {549527, 1073192, 89585}}"
